,ID,ID2,NAMAD,DESC,UN1,VOLUME,UN2,UN3,CAT,UN4,TYPE
292,23086515493897579,IRO1LKGH0001,ولغدر,ليزينگ‌خودروغدير,122955,5100548,345543,858,58,530000000,300
293,23214828924506640,IRO1BARZ0001,پكرمان,گروه‌ صنعتي‌ بارز,122947,4687864,1010600,1329,25,2526500000,300
294,23293437377896568,IRO1SADR0001,تاصيكو,سرمايه گذاري صدرتامين,123054,2162395,4545455,1289,13,20000000000,300
295,23353689102956991,IRO1DKSR0001,دكوثر,داروسازي‌ كوثر,122940,6266923,216000,910,43,540000000,300
296,23441366113375722,IRO1PASN0001,پارسان,گسترش نفت و گاز پارسيان,122949,8348540,2154244,1276,44,40500000000,300
297,23584330296882826,IRO9PASN0761,ضسان3020,اختيارخ پارسان-5000-1398/03/26,61109,0,1,22,44,1000,311
298,23600798892801694,IRO3CHRZ0001,قچار,فراوردههاي غذايي وقند چهارمحال,120441,486493,1,682,38,140000000,303
299,23695001747840020,IRB3TB409951,اخزا709,اسنادخزانه-م9بودجه97-990513,122932,49668,1,242,69,23000000,306
300,23764658057067224,IRO2X34T8021,جاتو802,آتي ش خودرو و قطعات-1398/02/29,124219,10,1,42,34,3500,263
301,23791232955302467,IRB3SR2499B1,سلامت4,مرابحه دولتي تعاون-لوتوس991118,61026,0,1,105,69,1000000,306
302,23837844039713715,IRO1NASI0001,كفرا,فراورده‌ هاي‌ نسوزايران‌,122959,677672,149154,866,54,372885754,300
